,title,authors,average_rating,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,author_num,publisher_num
2310,Organizational Architecture: Designs for Changing Organizations,David A. Nadler/Robert B. Shaw/Marc S. Gerstein,4.62,eng,304,2,0,696384300,Jossey-Bass,3,1
2311,The Wakefields of Sweet Valley (Sweet Valley High Magna Editions #1),Francine Pascal/Kate William,3.92,eng,346,1425,73,727833840,Sweet Valley,2,1
2312,Lighthousekeeping,Jeanette Winterson,3.85,eng,232,6229,497,1136246640,Mariner Books,1,1
2313,The Best American Crime Writing 2006,Mark Bowden/Otto Penzler/Thomas H. Cook/S.C. Gwynne/Paige Williams/Mary Battiata/Howard Blum/John Connolly/Richard Rubin/Chuck Hustmyre/David Friedman/Denise Grollmus/Deanne Stillman/Jeffrey Toobin/Skip Hollandsworth/Jimmy Breslin/John Heilemann/Mark Jacobson/Robert Nelson,4.0,eng,352,206,18,1136419740,Ecco,19,1
2314,The White Road (Morland Dynasty  #28),Cynthia Harrod-Eagles,4.27,eng,480,195,8,1136074260,Little  Brown Book Group,1,1
2315,Paula Spencer,Roddy Doyle,3.78,en-US,281,1956,186,1167609660,Viking Books,1,1
2316,Something to Declare,Julia Alvarez,3.99,en-US,300,726,50,915149340,Plume Books,1,1
2317,One Thousand White Women: The Journals of May Dodd (One Thousand White Women  #1),Jim Fergus,3.88,eng,434,100949,7615,916358520,St. Martin's Griffin,1,1
2318,Lords of the Sky,Angus Wells,3.94,eng,688,288,17,789351000,Spectra,1,1
2319,Maximum City: Bombay Lost and Found,Suketu Mehta,3.93,eng,542,9024,637,1106784540,Vintage,1,1
2320,In the Green Star's Glow (Green Star  #5),Lin Carter,3.51,eng,192,93,11,190944060,DAW Books,1,1
2321,E=mc²: A Biography of the World's Most Famous Equation,David Bodanis,4.09,eng,337,6368,321,946685400,Berkley Trade,1,1
2322,Die Naschkatzen,Jennifer Crusie,3.94,ger,480,15,1,978307440,Goldmann Verlag,1,1
2323,Huxley and God: Essays on Religious Experience,Aldous Huxley/Huston Smith/Jacqueline Hazard Bridgeman,4.3,eng,320,98,4,1041379380,The Crossroad Publishing Company,3,1
2324,The Cake Book,Tish Boyle/John Uher,4.19,eng,384,100,12,1137197040,Houghton Mifflin Harcourt,2,1
2325,Complete Essays 1  1920-25,Aldous Huxley/Robert S. Baker/James Sexton,4.33,en-GB,480,16,2,949191000,Ivan R. Dee  Publisher,3,1
2326,Empire 2.0: A Modest Proposal for a United States of the West (Terra Nova),Xavier de C./Xavier de C./Joseph Rowe,4.67,eng,144,3,0,1073174700,North Atlantic Books,3,1
2327,Nausicaä of the Valley of the Wind  Vol. 5 (Nausicaä of the Valley of the Wind  #5),Hayao Miyazaki/Matt Thorn/Kaori Inoue/Joe Yamazaki/Walden Wong/Izumi Evers,4.61,eng,151,1904,28,1075421160,VIZ Media,6,1
2328,Avalon,Anya Seton/Philippa Gregory,3.87,en-US,440,2857,158,1136073900,Chicago Review Press,2,1
2329,Teach Your Child to Read in 100 Easy Lessons,Siegfried Engelmann/Phyllis Haddox/Elaine Bruner,4.17,en-US,395,2207,271,506131560,Touchstone,3,1
2330,Breakfast in Bed (Bed & Breakfast #1),Sandra Brown,3.54,eng,240,53,6,820714260,Fanfare,1,1
2331,Desire and Duty: A Sequel to Jane Austen's Pride and Prejudice,Ted Bader/Marilyn Bader,2.86,eng,286,114,9,852076920,Revive Publishing,2,1
2332,Sonnets,William Shakespeare/Barbara A. Mowat/Paul Werstine,4.25,eng,391,701,41,1072915320,Simon  Schuster,3,1
2333,The Door to Time (Ulysses Moore  #1),Pierdomenico Baccalario/Iacopo Bruno/Laura Zuccotti/Leah D. Janeczko/Beth Dunfey,3.93,eng,239,3099,241,1136073660,Scholastic Inc.,5,1
2334,Battle Angel Alita - Last Order : Angel's Vision  Vol. 08,Yukito Kishiro,4.1,eng,208,336,5,1137024720,VIZ Media LLC,1,1
2335,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,eng,336,76,9,1104710700,William Morrow Paperbacks,1,1
2336,Armadale,Wilkie Collins/Catharine Peters,3.91,eng,880,56,11,916099680,Oxford University Press,2,1
2337,American Splendor: Another Day,Harvey Pekar/Ty Templeton/Eddie Campbell/Hilary Barta,3.71,en-US,136,349,28,1168128240,Vertigo,4,1
2338,The Hermeneutical Spiral: A Comprehensive Introduction to Biblical Interpretation,Grant R. Osborne,3.94,eng,624,410,37,1136074320,IVP Academic,1,1
2339,Girl in the Shadows (Shadows  #2),V.C. Andrews,3.81,en-US,400,5,1,1136592180,Pocket Books,1,1
2340,The Dark Half,Stephen King,3.77,eng,469,110131,1282,631671000,New English Library,1,1
2341,Finnegan's Week,Joseph Wambaugh,3.63,eng,352,561,42,788918880,Bantam,1,1
2342,Santa Cruise: A Holiday Mystery at Sea,Mary Higgins Clark/Carol Higgins Clark,3.41,eng,261,4844,433,1137197460,Scribner,2,1
2343,Serious Girls,Maxine Swann,3.2,eng,240,207,28,1072915920,Picador USA,1,1
2344,Sharp Edges,Jayne Ann Krentz,3.86,eng,368,2792,73,1075162020,Pocket Star Books,1,1
2345,The Satanic Verses,Salman Rushdie,3.71,eng,560,11,0,570154140,Penguin Books Ltd,1,1
2346,The Invisibles  Vol. 7: The Invisible Kingdom,Grant Morrison/Philip Bond/Warren Pleece/Sean Phillips/Jay Stephens/Frank Quitely/Steve Yeowell,4.2,en-US,288,3346,83,1009843920,DC Comics Vertigo,7,1
2347,Teleny or the Reverse of the Medal,Oscar Wilde,3.67,eng,138,985,63,1136592180,MONDIAL,1,1
2348,Mr. Jelly and the Pirates,Roger Hargreaves/Adam Hargreaves,3.82,eng,32,87,12,1168387500,Price Stern Sloan,2,1
2349,Sweet Revenge,Lynsay Sands,3.99,eng,400,1786,90,1072915320,Leisure Books,1,1
2350,World's Fair,E.L. Doctorow,3.83,eng,304,3178,229,820454700,Plume,1,1
2351,The Decline and Fall of the Roman Empire,Edward Gibbon/Hugh Trevor-Roper,3.98,eng,680,35,4,1104797280,Phoenix,2,1
2352,Destiny's Daughters,Gwynne Forster/Donna Hill/Parry A. Brown,4.2,eng,292,71,8,1138665660,Kensington,3,1
2353,Fugitives and Refugees: A Walk in Portland  Oregon,Chuck Palahniuk,3.51,en-US,176,8460,415,1041984420,Crown Journeys/Crown Publishers/Crown Publishing Group/Random House,1,4
2354,The Battle Of Corrin (Legends of Dune  #3),Brian Herbert/Kevin J. Anderson,3.74,eng,624,59,2,1072915740,Hodder & Stoughton Ltd,2,1
2355,Beauty and Sadness,Yasunari Kawabata/Howard Hibbett,3.85,eng,206,4933,313,822960060,Vintage,2,1
2356,Inferno (La Divina Commedia #1),Dante Alighieri/Ronald L. Martinez/Robert M. Durling/Robert Turner,4.0,eng,672,468,50,852508980,Oxford University Press  USA,4,1
2357,Return to Ithaca (Tales from the Odyssey  #5),Mary Pope Osborne/Troy Howell,4.14,eng,112,280,19,1072915800,Little  Brown Books for Young Readers,2,1
2358,Bird Songs: Of North America,Les Beletsky/Jon L. Dunn,4.48,eng,368,273,30,1138406940,Chronicle Books,2,1
2359,Savannah Blues (Weezie and Bebe Mysteries  #1),Mary Kay Andrews,3.99,en-US,404,16006,1049,1326154020,Harper Paperbacks,1,1
2360,Code Word Kangaroo (Adam Sharp #6),George E. Stanley/Guy Francis,4.14,eng,48,5,0,1075248540,Random House Books for Young Readers,2,1
2361,Arkham Asylum: Living Hell,Dan Slott/Ryan Sook/Wade Von Grawbadger/Jim Royal,3.81,eng,144,1709,88,1072915380,DC Comics,4,1
2362,The Lord of the Rings Millennium Edition Boxed Set (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,eng,1472,120,5,915927000,Houghton Mifflin,1,1
2363,The Capture (Guardians of Ga'Hoole  #1),Kathryn Lasky,3.9,eng,222,22125,1232,1041379560,Scholastic Paperbacks,1,1
2364,South of the Border  West of the Sun,Haruki Murakami/Philip Gabriel,3.87,eng,190,59657,2612,1136074320,Vintage,2,1
2365,The Treason of Isengard: The History of The Lord of the Rings  Part Two (The History of Middle-earth  #7),J.R.R. Tolkien/Christopher Tolkien,4.17,eng,465,102,5,1010102520,HarperCollins,2,1
2366,The Man With a Load of Mischief (Richard Jury  #1),Martha Grimes,3.99,eng,272,14812,461,1041638520,Berkley Books,1,1
2367,The Moffats (The Moffats  #1),Eleanor Estes/Louis Slobodkin,4.0,eng,212,9334,302,978307440,Oddysey/Harcourt Young Classics,2,2
2368,On Crimes and Punishments,Cesare Beccaria/David Young,3.92,eng,129,1,0,504922260,Hackett Publishing Company  Inc.,2,1
2369,Tibullus: A Commentary,Michael C.J. Putnam,3.71,eng,222,7,1,285207060,University of Oklahoma Press,1,1
2370,A Short History of Byzantium,John Julius Norwich,4.09,eng,496,1772,142,886032720,Vintage,1,1
2371,The History of the Siege of Lisbon,José Saramago/Giovanni Pontiero,3.81,eng,314,331,62,883613340,Mariner Books,2,1
2372,Amor Y Respeto/love And Respect: El Respeto Que El Desesperadamente Necesita/ The Love She Most Desires And The Respect He Desperately Needs,Emerson Eggerichs,4.18,spa,292,13,0,1104969900,Casa Creacion,1,1
2373,An Introduction to Old Norse,E.V. Gordon/A.R. Taylor,4.1,eng,412,104,7,349056420,Oxford University Press,2,1
2374,George Washington's Rules of Civility & Decent Behavior in Company and Conversation (Little Books of Wisdom),George Washington,4.08,eng,30,835,113,599616480,Applewood Books,1,1
2375,The Private Parts of Women,Lesley Glaister,3.8,eng,288,22,3,1009843740,Bloomsbury Publishing PLC,1,1
2376,Writings 1902-1910: The Varieties of Religious Experience / Pragmatism / A Pluralistic Universe / The Meaning of Truth / Some Problems of Philosophy / Essays,William  James/Bruce Kuklick,4.21,eng,1379,372,11,567993720,Library of America,2,1
2377,The Alibi,Sandra Brown,4.04,eng,564,20164,523,1136074260,Hachette Books,1,1
2378,The Prose Edda,Snorri Sturluson/Jesse L. Byock,4.17,eng,180,8625,321,1106870820,Penguin Classics,2,1
2379,Glamorama,Bret Easton Ellis,3.46,ger,832,46,0,1264118520,KiWi,1,1
2380,The Memory Keeper's Daughter,Kim Edwards,3.67,eng,401,535636,17550,1138579500,Penguin Books,1,1
2381,Descent of Man,T. Coraghessan Boyle,3.96,eng,240,605,44,633398820,Penguin Books,1,1
2382,Star Wars: Clone Wars  Volume 6: On the Fields of Battle,John Ostrander/Jan Duursema,4.04,eng,168,487,18,1104624480,Dark Horse Books,2,1
2383,The Battle for God: A History of Fundamentalism,Karen Armstrong,3.93,eng,480,5677,254,980812860,Ballantine Books,1,1
2384,The Maltese Falcon,Dashiell Hammett,3.91,eng,213,69254,2997,1104537780,Orion,1,1
2385,Mandie and the Abandoned Mine (Mandie  #8),Lois Gladys Leppard,3.96,eng,160,1369,17,536457900,Bethany House Publishers,1,1
2386,The Philosophy of Andy Warhol (From A to B and Back Again),Andy Warhol,3.74,eng,272,33697,402,221357040,Mariner Books,1,1
2387,Ohio Class (Silent Service #5),H. Jay Riker,3.84,eng,416,44,4,1138147620,Avon,1,1
2388,How Green Was My Valley,Richard Llewellyn,4.18,eng,448,12351,1041,980640360,Penguin Classics,1,1
2389,The Case of the Snowboarding Superstar (Jigsaw Jones  #29),James Preller/R.W. Alley/Jamie  Smith,3.98,en-US,80,123,13,1136073660,Scholastic,3,1
2390,The Rescue,Nicholas Sparks,4.11,eng,352,154933,3141,1104537840,Grand Central Publishing,1,1
2391,Strategies of Containment: A Critical Appraisal of American National Security Policy During the Cold War,John Lewis Gaddis,4.03,en-US,484,552,26,1104538020,Oxford University Press  USA,1,1
2392,Me vs. Me,Sarah Mlynowski,3.67,eng,311,1725,120,1138147620,Red Dress Ink,1,1
2393,Anita Blake  Vampire Hunter Collection 1-4 (Anita Blake  Vampire Hunter  #1-4),Laurell K. Hamilton,4.54,eng,1256,3320,36,1043452920,Jove,1,1
2394,Insomnia,Stephen King/Bettina Blanch Tyroller,3.82,spa,890,117901,2028,1106870520,Debolsillo,2,1
2395,Ein Sommernachtsspiel,Kate Atkinson,3.72,ger,410,1,0,915149160,Heyne,1,1
2396,The Prophet,Kahlil Gibran/جبران خليل جبران/Jihad El,4.23,eng,127,184293,5418,1262304060,Rupa & Co,3,1
2397,Child of Darkness (Gemini  #3),V.C. Andrews,3.81,eng,400,19,4,1105747380,Gallery Books,1,1
2398,Dark Rivers of the Heart / Sole Survivor / Intensity,Dean Koontz,4.41,eng,700,602,10,980381400,Bright Sky Press,1,1
2399,We Were Soldiers Once... and Young: Ia Drang - The Battle that Changed the War in Vietnam,Harold G. Moore/Joseph L. Galloway,4.31,eng,480,21876,451,1074816660,Presidio Press,2,1
2400,Goodnight Moon 123: A Counting Book (Over the Moon),Margaret Wise Brown/Clement Hurd,3.57,eng,32,198,22,1167610020,HarperCollins Publishers,2,1
2401,The Secret Swan,Shana Abe,3.67,eng,393,695,51,978480240,Bantam,1,1
2402,Sailing the Wine-Dark Sea: Why the Greeks Matter,Thomas Cahill,3.77,eng,352,2470,233,1075162020,Anchor,1,1
2403,ヒカルの碁 18、番外編,Yumi Hotta/Yumi Hotta,4.11,jpn,211,275,7,1009930080,集英社,2,1
2404,The Last Temptation,Nikos Kazantzakis/Peter A. Bien,4.16,eng,589,114,14,789696660,Faber  Faber,2,1
2405,Please Kill Me: The Uncensored Oral History of Punk,Legs McNeil/Gillian McCain,4.16,eng,452,25094,937,1137110640,Grove Press,2,1
2406,Camera Lucida: Reflections on Photography,Roland Barthes/Richard Howard,3.97,eng,119,75,5,978307560,Hill and Wang,2,1
2407,Good as Gold,Joseph Heller,3.36,eng,445,2631,100,853027860,Simon  Schuster,1,1
2408,The Dream Giver,Bruce H. Wilkinson/David Kopp/Heather Harpham Kopp,4.26,eng,157,5044,316,1041552540,Multnomah Books,3,1
2409,Unacknowledged Legislation: Writers in the Public Sphere,Christopher Hitchens,4.01,eng,430,211,16,1009843260,Verso,1,1
2410,Catfish and Mandala: A Two-Wheeled Voyage Through the Landscape and Memory of Vietnam,Andrew X. Pham,3.96,en-US,344,4820,524,946771740,Picador USA,1,1
2411,The Dark Descent,David G. Hartwell/Clive Barker/Ray Bradbury/John Collier/Shirley Jackson/Stephen King/Joyce Carol Oates,4.25,eng,1011,1991,65,853286460,Tor Books,7,1
2412,Master of Dragons (Mageverse #5),Angela Knight,4.22,eng,293,3190,56,1167955560,Berkley Sensation,1,1
2413,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,eng,32,15,0,1009843260,Teaching Resources,1,1
2414,The Making of a Philosopher: My Journey Through Twentieth-Century Philosophy,Colin McGinn,3.65,eng,256,226,31,1041984420,Harper Perennial,1,1
2415,Proof of Concept,Larry Young/Damian Couceiro/Kieron Dwyer,3.0,eng,134,6,1,1106006460,AIT Planet Lar,3,1
2416,Hannibal Crosses the Alps: The Invasion of Italy & the Second Punic War,John Prevas,3.83,en-US,256,91,11,979690140,Da Capo Press,1,1
2417,Cartas del diablo a su sobrino,C.S. Lewis/Miguel Marias,4.22,spa,144,409,54,1137196980,HarperOne,2,1
2418,The Journals of Ayn Rand,Ayn Rand/Leonard Peikoff/David Harriman,3.94,eng,752,317,14,915149280,NAL,3,1
2419,A Long Way from Chicago (A Long Way from Chicago  #1),Richard Peck,3.94,eng,160,30141,2106,1073865840,Puffin Books,1,1
2420,Tidings of Great Joy,Sandra Brown,3.62,eng,231,1707,74,915235860,Bantam,1,1
2421,De Kooning: An American Master,Mark Stevens/Annalyn Swan,4.11,eng,732,2732,105,1136333040,Knopf Publishing Group,2,1
2422,The Turn of the Screw/Daisy Miller,Henry James,3.61,eng,192,959,55,-504921120,Laurel,1,1
2423,The Gonzo Way: A Celebration of Dr. Hunter S. Thompson,Anita Thompson,3.96,en-US,112,1052,36,1167610020,Fulcrum Publishing,1,1
2424,Grammar Snobs Are Great Big Meanies: A Guide to Language for Fun and Spite,June Casagrande,3.78,eng,199,774,157,1138406580,Penguin Books,1,1
2425,A Book of Blue Flowers,Robert L. Geneve,3.83,eng,327,0,0,1136073720,Timber Press (OR),1,1
2426,The Last Days of Socrates,Plato/Hugh Tredennick/Harold Tarrant,4.08,eng,256,1686,111,1043625780,Penguin Classics,3,1
2427,Little Women,Louisa May Alcott,4.07,eng,449,1479727,18458,1073347440,Signet Classics,1,1
2428,God Emperor of Dune (Dune Chronicles #4),Frank Herbert,3.84,eng,454,51343,896,1042416180,Victor Gollancz,1,1
2429,Falling for You,Jill Mansell,3.8,eng,448,4816,143,1074211680,Headline Review,1,1
2430,Cards on the Table (Hercule Poirot  #15),Agatha Christie,3.92,eng,324,25236,1046,1104883620,Berkley,1,1
2431,Quiver,Stephanie Spinner,3.51,en-US,177,837,95,1105488240,Laurel-Leaf Books,1,1
2432,No Cherubs for Melanie,James  Hawkins,4.0,eng,394,8,1,1009843800,Dundurn,1,1
2433,A Map of the World,Jane Hamilton/Frank  Muller/C.J. Critt,3.81,en-GB,400,68554,1476,915322320,Anchor Books,3,1
2434,The House of Morgan: An American Banking Dynasty and the Rise of Modern Finance,Ron Chernow,4.07,eng,812,5110,281,979949340,Grove Press,1,1
2435,Scoop (Occupational Hazards  #1),Rene Gutteridge,3.61,eng,352,460,53,1136851800,WaterBrook,1,1
2436,The King in the Window,Adam Gopnik/Omar Rayyan,3.6,en-US,410,805,108,1137283800,Miramax Books,2,1
2437,The Wedding (The Notebook  #2),Nicholas Sparks,3.99,eng,276,126629,5295,1104538080,Vision,1,1
2438,Twelve Ordinary Men,John F. MacArthur Jr.,4.21,en-US,224,2409,232,1011312660,Thomas Nelson,1,1
2439,Hegel: A Very Short Introduction,Peter Singer,3.86,eng,131,1141,122,978739920,Oxford University Press,1,1
2440,The Alchemist,Paulo Coelho/Alan R. Clarke/Özdemir İnce,3.86,eng,197,1631221,55843,725846700,HarperCollins,3,1
2441,The Language Instinct: How the Mind Creates Language,Steven Pinker,4.03,eng,448,15441,693,947203860,Harper Perennial Modern Classics,1,1
2442,Far from the Madding Crowd,Thomas Hardy/Margaret Drabble,3.94,eng,465,324,40,979171920,Modern Library,2,1
2443,Anne of Avonlea,L.M. Montgomery/Susan O'Malley,4.23,eng,8,63,8,883613520,Blackstone Audiobooks,2,1
2444,Poems New and Collected,Wisława Szymborska/Clare Cavanagh,4.43,eng,296,2561,120,947981460,Mariner Books,2,1
2445,By Myself and Then Some,Lauren Bacall,3.95,eng,512,2799,170,1138666200,It Books,1,1
2446,Common Herbs for Natural Health,Juliette De Bairacli Levy/Heather  Wood,4.45,eng,223,113,7,821318640,Ash Tree Publishing,2,1
2447,Blackout (Kat Bronsky #2),John J. Nance,3.96,eng,672,572,36,947376720,Pan Books,1,1
2448,The Horizontal World: Growing Up Wild in the Middle of Nowhere,Debra Marquart,3.77,en-US,270,387,76,1137110760,Counterpoint LLC,1,1
2449,The Fountainhead,Ayn Rand/Leonard Peikoff,3.87,eng,704,271754,10063,820454940,Signet Book,2,1
2450,The Untamed One (Wild Wulfs of London  #2),Ronda Thompson,4.01,eng,320,925,42,1136160300,St. Martin's Paperbacks,1,1
2451,The Night Awakens: A Mystery Writers of America Anthology,Mary Higgins Clark/Angela Zeman/Noreen Ayres/Sally Cabot Gunning/Joseph Hansen/Sarah Shankman/Nancy Pickard/Eleanor Taylor Bland/Brendan DuBois/Edward D. Hoch/Loren D. Estleman,3.51,en-US,303,162,13,946684920,Simon and Schuster,11,1
2452,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling/Mary GrandPré,4.42,eng,341,2293963,34692,915235560,Arthur A. Levine Books / Scholastic Inc.,2,2
2453,The Birth of Tragedy,Friedrich Nietzsche,3.98,eng,84,32,0,1074297960,Kessinger Publishing,1,1
2454,Works of Hesiod and the Homeric Hymns,Hesiod/Daryl Hine,3.73,eng,230,34,4,1105747260,University of Chicago Press,2,1
2455,Hoodwinked,Quentin Carter,4.43,en-US,277,976,30,1104538140,Triple Crown Publications,1,1
2456,On Certainty,Ludwig Wittgenstein/G.E.M. Anscombe/George Henrik von Wright,4.16,en-US,114,75,4,663984060,Wiley-Blackwell,3,1
2457,Midnight for Charlie Bone (The Children of the Red King  #1),Jenny Nimmo,3.82,eng,401,36853,1725,1041379380,Orchard Books,1,1
2458,Island: Collected Stories,Alistair MacLeod,4.19,eng,448,837,102,1010189340,Vintage,1,1
2459,The Annotated Christmas Carol,Charles Dickens/Michael Patrick Hearn/John Leech,4.05,eng,266,276,46,1074298260,W. W. Norton  Company,3,1
2460,Bless Me  Ultima,Rudolfo Anaya,3.77,en-US,290,22435,1912,915149040,Grand Central Publishing,1,1
2461,The Black Book,Orhan Pamuk/Maureen Freely/عین له غریب,3.91,eng,466,6352,425,1136938020,Vintage,3,1
2462,Philosophy: The Classics,Nigel Warburton,3.89,eng,257,337,26,884304420,Routledge,1,1
2463,Joust (Dragon Jousters  #1),Mercedes Lackey,4.02,eng,448,10113,263,1073001780,DAW,1,1
2464,Miracle Fair: Selected Poems,Wisława Szymborska/Joanna Trzeciak/Czesław Miłosz,4.42,eng,159,482,47,1011226260,W. W. Norton  Company,3,1
2465,Judge Dredd (Audio Cassette),Neal Barrett Jr./Martha Banta,2.96,eng,0,6,0,788918820,Random House Audio,2,1
2466,1776,David McCullough,4.07,eng,386,166916,6243,1136333220,Simon  Schuster,1,1
2467,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,eng,216,10,0,1043194140,Pearson,1,1
2468,The Terminal Man,Michael Crichton,3.36,eng,266,21457,576,1010189460,Avon,1,1
2469,Reinventing Jesus: How Contemporary Skeptics Miss the Real Jesus and Mislead Popular Culture,J. Ed Komoszewski/Daniel B. Wallace/M. James Sawyer,4.2,en-US,347,225,21,1136765100,Kregel Publications,3,1
2470,La Dame aux Camélias,Alexandre Dumas fils/David Coward,3.99,eng,256,15211,411,949190580,Oxford University Press,2,1
2471,Until I Find You,John Irving,3.63,eng,820,22547,1371,1138579500,Ballantine Books,1,1
2472,The Feynman Lectures on Physics Vols 5-6,Richard P. Feynman,4.59,en-US,12,22,0,1073088660,Basic Books,1,1
2473,Aftershock  (Sweet Valley High Super Edition  #12),Francine Pascal/Kate William,3.7,eng,227,286,7,884391060,Bantam,2,1
2474,Pet Sematary,Stephen King,3.98,eng,576,257466,3768,1104538260,Pocket Books,1,1
2475,Mon épouse américaine,Ruth Ozeki/Florence Mortimer,3.96,fre,445,3,0,979862640,Pocket,2,1
2476,The Three Musketeers,Alexandre Dumas/Barbara T. Cooper,4.07,eng,761,1149,147,1074989460,Barnes  Noble Classics,2,1
2477,Thirteen Moons,Charles Frazier,3.69,eng,422,10534,1578,1136247000,Random House,1,1
2478,Caligula,Albert Camus/Pierre-Louis Rey/P. Morgan/E.T. Jones,4.08,fre,224,6059,210,725846940,Gallimard,4,1
2479,Verserade tankar,Lennart Hellsing/Fibben Hald,3.0,swe,128,1,0,915149340,Alfabeta Bokförlag,2,1
2480,Clouds/Wasps/Peace,Aristophanes/Jeffrey Henderson,4.07,grc,624,69,10,884823120,Loeb Classical Library/Harvard University Press,2,2
2481,The Elf Queen of Shannara (Heritage of Shannara  #3),Terry Brooks,4.04,eng,416,26676,188,883872180,Orbit,1,1
2482,Who Was Anne Frank?,Ann Abramson/Nancy Harrison,4.26,eng,103,1953,293,1169078460,Penguin Workshop,2,1
2483,Investing in Real Estate,Andrew James McLean/Gary W. Eldred,3.82,eng,314,200,12,1104538260,John Wiley & Sons,2,1
2484,The Laughing Jesus: Religious Lies and Gnostic Wisdom,Tim Freke/Peter Gandy,3.96,en-US,276,346,31,1138320360,Harmony,2,1
2485,The Burgess Bird Book for Children,Thornton W. Burgess/Louis Agassiz Fuertes,4.31,eng,260,1253,54,1043280240,Dover Publications,2,1
2486,Watermelon (Walsh Family  #1),Marian Keyes,3.78,eng,520,65441,1233,1105056420,Arrow,1,1
2487,Dewdrops on a Lotus Leaf: Zen Poems of Ryokan,Ryōkan/John   Stevens,4.58,eng,120,183,19,1073952240,Shambhala,2,1
2488,The Collected Letters of C.S. Lewis  Volume 3: Narnia  Cambridge  and Joy  1950 - 1963,C.S. Lewis/Walter Hooper,4.47,eng,1840,144,16,1168300860,HarperOne,2,1
2489,Octopussy & the Living Daylights (James Bond  #14),Ian Fleming,3.55,eng,120,5074,211,1073347440,Penguin Books,1,1
2490,The Age of Access: The New Culture of Hypercapitalism  Where All of Life Is a Paid-For Experience,Jeremy Rifkin/Ralph Fowler,3.82,eng,320,228,12,978652980,Tarcher,2,1
2491,Trust Fund,Stephen W. Frey,3.72,eng,358,607,22,1009929660,Fawcett Books,1,1
2492,Life Doesn't Frighten Me,Maya Angelou/Jean-Michel Basquiat/Sara Jane Boyers,4.41,eng,32,1246,164,820886520,Harry N. Abrams,3,1
2493,King Lear,William Shakespeare/Barbara A. Mowat/Paul Werstine,3.91,eng,384,215,11,1104538080,Simon  Schuster,3,1
2494,Cane River,Lalita Tademy,4.06,eng,522,42695,1845,1009843440,Grand Central Publishing,1,1
2495,Spring's Awakening,Frank Wedekind/Eric Bentley,3.8,eng,126,3378,137,946685040,Applause Books,2,1
2496,The Orange Girl,Jostein Gaarder/James Anderson,3.92,eng,151,12162,709,1104970020,Phoenix,2,1
2497,The Oxford Dictionary of Quotations,Elizabeth Knowles,4.2,en-US,1536,37,2,917223060,Oxford University Press  USA,1,1
2498,A Whole New Light,Sandra Brown,3.55,eng,227,2955,203,1201306080,Bantam (Fanfare Imprint),1,1
2499,Blood Sport,Dick Francis,3.89,eng,288,4600,113,1073002260,G.P. Putnam's Sons,1,1
2500,The Meanest Thing To Say,Bill Cosby/Varnette P. Honeywood/Varnette Hon Eywood,3.54,eng,40,990,55,852077340,Cartwheel,3,1
2501,Treasure of Khan (Dirk Pitt  #19),Clive Cussler/Dirk Cussler,3.91,eng,552,10987,332,1138407060,G.P. Putnam's Sons,2,1
2502,Magic's Promise (Valdemar: Last Herald-Mage #2),Mercedes Lackey,4.21,eng,320,18141,278,631238460,DAW Books Inc,1,1
2503,Beatrix Potter's Journal,Beatrix Potter,4.36,eng,32,350,42,1137629400,Warne,1,1
2504,La disparition,Georges Perec,3.8,fre,319,261,28,633744720,Gallimard,1,1
2505,Jurassic Park (Jurassic Park  #1),Michael Crichton,4.02,spa,480,451443,3647,1136333040,Plaza y Janes,1,1
2506,Familienalbum,Kate Atkinson,3.96,ger,507,2,0,1009843260,Heyne,1,1
2507,Margot Fonteyn,Meredith Daneman,4.03,eng,704,256,17,1104797280,Penguin,1,1
2508,Heat,William Goldman,3.37,eng,244,242,17,504922140,Warner Books (NY),1,1
2509,Hide (Detective D.D. Warren  #2),Lisa Gardner,4.16,eng,375,26891,1501,1170115260,Bantam Books,1,1
2510,The Stone Raft,José Saramago/Giovanni Pontiero,3.8,en-US,292,308,30,821577960,Mariner Books,2,1
2511,La gata perdida = The Missing Cat (Las Aventuras de Nicolas = Adventures with Nicholas),Chris L. Demarest/Berlitz Publishing Company,4.14,spa,64,0,0,1137283680,Berlitz Kids,2,1
2512,Glass House,Philip Johnson/Toshio Nakamura,4.0,eng,256,14,2,1168387500,The Monacelli Press,2,1
2513,The Castle of Llyr (The Chronicles of Prydain  #3),Lloyd Alexander,4.08,eng,174,30401,723,1137369900,Square Fish,1,1
2514,The Communist Manifesto,Karl Marx/Friedrich Engels/Eric Hobsbawm,3.55,eng,88,309,38,883613100,Verso,3,1
2515,Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,4.17,eng,368,351406,11701,916704600,Anchor Books,1,1
2516,Mother God: The Feminine Principle to Our Creator,Sylvia Browne,4.05,en-US,128,469,30,1072915320,Hay House,1,1
2517,The Dogs of Riga (Kurt Wallander  #2),Henning Mankell/Laurie Thompson,3.72,eng,326,17060,1016,1073952240,Vintage Crime/Black Lizard,2,2
